STT,SO XE,XE,NGAY,L,l,Q,To,Tr,N,C,Vm,d,dd,dH,Dh,M,E1,E2,E3,E4,E5,E6,LV,LV1,dc,MG
165,CE6_5,CE6.2U2_44,27/05/2020,06T,CE6,94.81,260,89,24,1316477.399,33.26666667,Tuyen Hang Dao,HD,0.12,120,8.04,1.017721519,163740.97,0.02,0.342307692,0.084801181,0.001265689,T,4,7.9,240000<E2<260000
166,CE6_8,CE6.2U2_84,27/05/2020,06T,CE6,98.1,250,66,6,1370165.848,31.98913043,Tuyen Le Van Linh,LVL,3.864,3864,7.49,0.96025641,182932.69,0.5,0.264,0.076350663,0.039388379,Sa,1,7.8,240000<E2<260000
167,CE6_8,CE6.2U2_84,27/05/2020,06T,CE6,98.94,370,152,26,1576879.788,2I311926605505,Tuyen Le Van Linh,LVL,4.901,4901,8.62,1.105128205,182932.69,0.63,0.410810811,0.087123509,0.049535072,C,3,7.8,240000<E2<260000
168,CE6_9,CE6.2U2_18,27/05/2020,06T,CE6,88.13,287,115,19,1513735.318,30.74302326,Tuyen Ly Thai To,LTT,0,0,7.87,1.093055556,192342.48,0,0.400696864,0.089299898,0,T,4,7.2,E2>260000
169,CE7_11,CE7U2_81,27/05/2020,07T,CE7,109.98,489,213,24,1661839.027,23.90869565,Tuyen Co De,CD,1.15,1150,8.64,2.009302326,192342.48,0.27,0.435582822,0.078559738,0.010456447,Sa,1,4.3,E2>260000
170,CE7_12,CE7U2_68,27/05/2020,07T,CE7,100.17,375,159,36,1775321.09,2K25,Tuyen Hang Bai,HB,2.744,2744,9.23,2.019693654,192342.48,0.6,0.424,0.092143356,0.027393431,T,4,4.57,E2>260000
171,CE9_13,CE9.6U2_00,27/05/2020,13T,CE9,96.02,294,102,27,3429254.771,30.00625,Tuyen Tran Hung Dao,THD,0.176,176,12.97,3.088095238,264398.98,0.04,0.346938776,0.135076026,0.001832951,T,4,4.2,E2>260000
172,CE9_14,CE9.7U2_02,27/05/2020,13T,CE9,92.51,267,96,24,3569386.23,32.45964912,Tuyen Phan Chu Trinh,PCT,0.664,664,13.5,2.755102041,264398.98,0.14,0.359550562,0.14593017,0.007177602,T,4,4.9,E2>260000
173,CE10_2,CE10U2_30,28/05/2020,11T,CE10,93.1,262,98,24,2895168.831,34.06097561,Tuyen Phan Chu Trinh,PCT,0.282,282,10.95,2.234693878,264398.98,0.06,0.374045802,0.117615467,0.003029001,T,4,4.9,E2>260000
174,CE6_3,CE6.2U2_88,28/05/2020,06T,CE6,93.44,263,66,21,1515658.742,28.45888325,Tuyen Cua Nam,CN,0.884,884,7.88,2.057441253,192342.48,0.23,0.25095057,0.084332192,0.009460616,T,4,3.83,E2>260000
175,CE6_5,CE6.2U2_44,28/05/2020,06T,CE6,90.41,277,115,31,1446415.45,33.48518519,Tuyen Hang Bai,HB,1.828,1828,7.52,1.645514223,192342.48,0.4,0.415162455,0.08317664,0.020219002,T,4,4.57,E2>260000
176,CE6_6,CE6.2U2_53,28/05/2020,06T,CE6,98.47,404,187,25,1386789.281,2I267281105991,Tuyen Ly Thai To,LTT,1.702,1702,7.21,1.001388889,192342.48,0.24,0.462871287,0.07322027,0.017284452,T,4,7.2,E2>260000
177,CE6_7,CE6.2U2_80,28/05/2020,06T,CE6,89.44,265,77,7,1312904.902,28.54468085,Tuyen Bach Dang,BD,0.232,232,7.84,2.142076503,167462.36,0.06,0.290566038,0.08765653,0.002593918,T,4,3.66,E2<240000
178,CE6_7,CE6.2U2_80,28/05/2020,06T,CE6,88.21,239,67,11,1344722.751,30.77093023,Tuyen Bach Dang,BD,0.236,236,8.03,2.193989071,167462.36,0.06,0.280334728,0.091032763,0.002675434,D,5,3.66,E2<240000
179,CE6_8,CE6.2U2_84,28/05/2020,06T,CE6,91.29,260,85,8,1477508.379,31.29942857,Tuyen Le Van Linh,LVL,3.456,3456,8.29,1.062820513,178227.79,0.44,0.326923077,0.090809508,0.037857378,C,3,7.8,240000<E2<260000
180,CE6_8,CE6.2U2_84,28/05/2020,06T,CE6,96,444,104,19,1446997.578,16.94117647,Tuyen Le Van Linh,LVL,1.54,1540,7.91,1.014102564,182932.69,0.2,0.234234234,0.082395833,0.016041667,Sa,1,7.8,240000<E2<260000
181,CE6_9,CE6.2U2_18,28/05/2020,06T,CE6,82.59,247,94,14,1331361.591,32.38823529,Tuyen Hang Dao,HD,0.352,352,7.47,0.94556962,178227.79,0.04,0.380566802,0.090446785,0.004262017,D,5,7.9,E2<240000
182,CE6_9,CE6.2U2_18,28/05/2020,06T,CE6,94.78,247,77,33,1244431.372,33.45176471,Tuyen Hang Dao,HD,1.04,1040,7.6,0.962025316,163740.97,0.13,0.311740891,0.080185693,0.010972779,D,5,7.9,240000<E2<260000
183,CE7_11,CE7U2_81,28/05/2020,07T,CE7,96.61,300,110,9,1525658.635,30.50842105,Tuyen Co De,CD,0.21,210,8.34,1.939534884,182932.69,0.05,0.366666667,0.086326467,0.002173688,Sa,1,4.3,240000<E2<260000
184,CE7_11,CE7U2_81,28/05/2020,07T,CE7,103.39,362,136,28,1645581.577,27.44867257,Tuyen Hang Dao,HD,4.024,4024,8.77,1.110126582,187637.58,0.51,0.375690608,0.084824451,0.038920592,Sa,2,7.9,E2>260000
185,CE7_12,CE7U2_68,28/05/2020,07T,CE7,96.07,426,190,34,1494501.07,2E245762711864,Tuyen Cua Nam,CN,0.382,382,7.77,2.028720627,192342.48,0.1,0.44600939,0.080878526,0.003976267,C,3,3.83,E2>260000
186,CE9_13,CE9.6U2_00,28/05/2020,13T,CE9,86.44,258,120,13,3089406.748,37.5826087,Tuyen Le Van Linh,LVL,1.139,1139,12.61,1.616666667,244996.57,0.15,0.465116279,0.145881536,0.01317677,D,5,7.8,E2<240000
187,CE9_13,CE9.6U2_00,28/05/2020,13T,CE9,93.69,300,123,17,3273417.266,31.75932203,Tuyen Le Van Linh,LVL,1.202,1202,14.22,1.823076923,230198.12,0.15,0.41,0.151777137,0.012829544,T,4,7.8,240000<E2<260000
188,CE9_14,CE9.7U2_02,28/05/2020,13T,CE9,93.31,284,105,24,3402814.873,31.27709497,Tuyen Tran Hung Dao,THD,0.658,658,12.87,3.064285714,264398.98,0.16,0.36971831,0.137927339,0.007051763,T,4,4.2,E2>260000
189,CE10_1,CE10U2_59,29/05/2020,11T,CE10,84.97,255,88,18,2817460.555,30.52814371,Tuyen Le Van Linh,LVL,0,0,11.5,1.474358974,244996.57,0,0.345098039,0.135341885,0,D,5,7.8,E2<240000
